연번,사고번호,접수지사,접수일자,접수요일,처리지사,사고일자,신고자 소속,주소,사고가스
1,N-2021-0005,본사,2021-01-01,금요일,부산북부지사,2021-01-01,소방서,부산 연제구 연산동,가스없음
2,N-2021-0004,본사,2021-01-01,금요일,서울남부지사,2021-01-01,사용자,서울 영등포구 대림동,LNG
3,N-2021-0003,본사,2021-01-01,금요일,경기동부지사,2021-01-01,기타,경기 광주시 쌍령동,프로판
4,N-2021-0002,본사,2021-01-01,금요일,경남서부지사,2021-01-01,사용자,경남 함양군 병곡면 도천리,프로판
5,N-2021-0001,본사,2021-01-01,금요일,전남서부지사,2020-12-31,사용자,전남 완도군 완도읍 가용리,프로판
6,N-2021-0008,본사,2021-01-02,토요일,경기북부지사,2021-01-02,사용자,경기 남양주시 오남읍 오남리 파라다이스빌,LNG
7,N-2021-0007,본사,2021-01-02,토요일,울산본부,2021-01-02,사용자,울산 울주군 상북면 궁근정리,기타
8,N-2021-0006,본사,2021-01-02,토요일,대구광역본부,2021-01-02,사용자,경북 김천시 평화동,프로판
9,N-2021-0012,본사,2021-01-03,일요일,경기북부지사,2021-01-03,사용자,경기 남양주시 오남읍 오남리,LNG
10,N-2021-0011,본사,2021-01-03,일요일,서울남부지사,2021-01-03,사용자,서울 구로구 신도림동,LNG
11,N-2021-0010,본사,2021-01-03,일요일,부산북부지사,2021-01-03,지역주민,부산 연제구 거제동,LNG
12,N-2021-0009,본사,2021-01-03,일요일,서울동부지사,2021-01-03,사용자,서울 성북구 돈암동,기타
13,N-2021-0018,본사,2021-01-04,월요일,제주본부,2021-01-04,소방서,제주 제주시 조천읍 조천리,프로판
14,N-2021-0017,본사,2021-01-04,월요일,전북본부,2021-01-04,인터넷,전북 익산시 오산면 남전리,프로판
15,N-2021-0016,본사,2021-01-04,월요일,경기중부지사,2021-01-04,사용자,경기 김포시 북변동,LNG
16,N-2021-0015,본사,2021-01-04,월요일,서울광역본부,2021-01-04,사용자,서울 강남구 삼성동,LNG
17,N-2021-0014,본사,2021-01-04,월요일,경기광역본부,2021-01-04,기타,경기 수원시 장안구 송죽동,LNG
18,N-2021-0013,본사,2021-01-04,월요일,광주광역본부,2021-01-04,사용자,광주 서구 화정동,LNG
19,N-2021-0020,본사,2021-01-05,화요일,경기동부지사,2021-01-05,소방서,경기 성남시 중원구 하대원동,부탄
20,N-2021-0019,본사,2021-01-05,화요일,서울남부지사,2021-01-05,소방서,서울 강서구 방화동,LNG
21,N-2021-0025,본사,2021-01-06,수요일,대전광역본부,2021-01-06,소방서,대전 유성구 지족동,프로판
