지사명,시설수,1000미만,1000-2000,2000-4000,4000-5000,5000-5500,5500-6000,6000-6500,6500-10000,10000이상
부산광역본부,4047,503,870,1213,219,76,56,51,259,800
강원광역본부,1530,283,335,395,73,26,26,21,84,287
충북본부,2111,372,483,481,84,27,24,19,83,538
전북본부,3528,539,858,983,132,59,36,40,179,702
제주본부,117,0,25,16,3,2,6,4,20,41
서울광역본부,7083,35,2229,2621,359,130,139,117,456,997
경기광역본부,9684,1576,2839,2419,402,178,168,118,530,1454
경남본부,4665,777,1166,1240,200,74,59,46,251,852
대구광역본부,5692,381,1382,1589,377,118,114,72,408,1251
서울서부지사,4935,28,1419,1657,247,101,102,88,347,946
강원영동지사,395,35,63,80,18,5,7,5,29,153
광주광역본부,4420,725,1148,1364,148,68,61,56,234,616
울산본부,2805,499,607,707,161,58,47,28,120,578
대전광역본부,5587,860,1544,1459,256,94,106,68,361,839
전남동부지사,1449,296,313,390,74,20,20,19,80,237
경기북부지사,3637,696,1064,978,175,71,58,52,197,346
경북동부지사,1736,253,334,486,78,47,23,16,92,407
충남본부,3602,646,864,848,140,46,44,35,161,818
서울남부지사,6343,16,2351,2177,280,151,135,101,417,715
서울동부지사,5196,10,1863,1752,276,126,101,89,370,609
부산북부지사,2880,486,775,857,155,48,44,39,157,319
경기서부지사,5970,987,1922,1299,246,93,99,76,334,914
경북북부지사,516,84,122,148,20,12,5,4,25,96
전남서부지사,1045,186,252,312,41,17,14,10,57,156
경남서부지사,1056,203,264,300,43,11,19,7,59,150
인천본부,7070,38,2660,2100,292,128,88,118,577,1069
경기동부지사,6389,881,1933,1785,287,120,100,98,401,784
경기중부지사,4763,836,1447,1171,207,91,64,62,280,605
충북북부지사,778,146,103,110,15,11,15,11,41,326
