연도,도시가스용_주택과 업무난방용,도시가스용_일반용,도시가스용_산업용,도시가스용_냉난방공조용,도시가스용_수송용,도시가스용_기타,도시가스용_합계,발전용
2000,6122,552,2464,173,0,217,9528,4688
2001,6455,666,2739,200,9,231,10300,5287
2002,6836,821,3014,203,62,259,11194,6509
2003,7241,967,3173,203,111,283,11979,6468
2004,7332,1112,3317,242,181,320,12504,8818
2005,8192,1281,3557,268,261,474,14033,8821
2006,7857,1322,3659,264,356,498,13957,9543
2007,7818,1386,3924,298,460,563,14449,11011
2008,7962,1412,4453,276,578,635,15316,11029
2009,7985,1413,4433,270,717,692,15510,9134
2010,8681,1460,5515,306,824,736,17522,13680
2011,8517,1465,6291,263,878,841,18255,15315
2012,8584,1505,7127,365,925,1051,19557,16990
2013,8079,1500,7524,505,976,1012,19596,19079
2014,7502,1484,6867,472,978,877,18180,16993
2015,7482,1478,5756,478,953,782,16929,14527
2016,7883,1539,5710,554,950,748,17384,15389
2017,8337,1617,6105,574,937,820,18390,13772
2018,8820,1694,6827,590,925,957,19813,16406
2019,8303,1695,6447,545,897,936,18822,14775
2020,8632,1514,5888,490,816,907,18247,14120
2021,8793,1518,6588,534,788,1111,19332,17582
2022,9190,1655,6469,553,760,1205,19832,18565
2023,8160,1711,5841,520,732,1364,18328,16314
2024,7927,1743,5916,539,692,1581,18398,15727
