station_type,site_code,site_name,survey_location,address,agency,major_basin,mid_basin
호소,1003G20,충주호,청풍교,청풍교,원주지방환경청,한강,충주댐
호소,1003G30,충주호,황강나루,황강나루,원주지방환경청,한강,충주댐
호소,1003G40,충주호,댐앞,댐앞,원주지방환경청,한강,충주댐
호소,1006G30,횡성호,취수탑,취수탑,원주지방환경청,한강,섬강
조류관찰지점,1007A20,강천보,강천,보 상류 500m,한강물환경연구소,한강,남한강하류
조류관찰지점,1007A27,여주보,대신,보 상류 500m,한강물환경연구소,한강,남한강하류
조류관찰지점,1007A60,이포보,이포,보 상류 500m,한강물환경연구소,한강,남한강하류
호소,1007G20,한강,이천,이천,한강물환경연구소,한강,남한강하류
호소,1010G50,춘천호,용산취수장,용산취수장,국토교통부,한강,춘천댐
호소,1010G60,춘천호,춘성교 교각,취수구3.6km,국토교통부,한강,춘천댐
호소,1011G50,의암호,신연교,신연교,한강물환경연구소,한강,춘천댐
호소,1017G20,팔당호,댐앞,댐앞,한강물환경연구소,한강,팔당댐
호소,1017G21,팔당호,부용사앞,월계사,한강물환경연구소,한강,남한강하류
호소,1017G22,팔당호,삼봉,삼봉리,한강물환경연구소,한강,청평댐
호소,1018G01,한강,미사대교,강북,서울특별시 서울물연구원,한강,한강서울
호소,1018G02,한강,강동대교,암사,서울특별시 서울물연구원,한강,한강서울
호소,1018G03,한강,구의,구의,서울특별시 서울물연구원,한강,한강서울
호소,1018G04,한강,잠실철교,자양,서울특별시 서울물연구원,한강,한강서울
호소,1018G05,한강,광진교,풍납,서울특별시 서울물연구원,한강,한강서울
호소,1018G06,한강,성수대교,성수대교,서울특별시 보건환경연구원,한강,한강서울
호소,1018G07,한강,한남대교,한남대교,서울특별시 보건환경연구원,한강,한강서울
호소,1018G08,한강,한강대교,한강대교,서울특별시 보건환경연구원,한강,한강서울
호소,1018G09,한강,마포대교,마포대교,서울특별시 보건환경연구원,한강,한강서울
호소,1018G10,한강,성산대교,성산대교,서울특별시 보건환경연구원,한강,한강서울
호소,1101G10,광교지,취수탑,취수탑,경기도 보건환경연구원,한강,안성천
조류참고지점,2001I10,안동댐,예안교,30km 취수탑,대구지방환경청,낙동강,안동댐
조류참고지점,2001I30,안동댐,댐앞,200m 취수탑,대구지방환경청,낙동강,안동댐
조류참고지점,2004I20,영주댐,유사조절지,11km 취수탑,대구지방환경청,낙동강,내성천
조류참고지점,2004I40,영주댐,댐앞,50m 취수탑,대구지방환경청,낙동강,내성천
조류관찰지점,2007A25,상주보,도남,보 상류 500m,낙동강물환경연구소,낙동강,낙동상주
조류관찰지점,2009A05,낙단보,낙단,보 상류 500m,낙동강물환경연구소,낙동강,구미보(낙동구미)
조류관찰지점,2009A30,구미보,선산,보 상류 500m,낙동강물환경연구소,낙동강,구미보(낙동구미)
조류관찰지점,2011A25,칠곡보,칠곡,보 상류 500m,낙동강물환경연구소,낙동강,강정고령보(낙동왜관)
