stn_id,lon,lat,stn_sp,ht,name_ko,name_en
90,128.56473,38.25085,35100,17.53,속초,Sokcho
93,127.75443,37.94738,31201,95.78,북춘천,Bukchuncheon
95,127.3042,38.14787,31110,155.48,철원,Cheorwon
98,127.0607,37.90188,22200,115.62,동두천,Dongducheon
99,126.76648,37.88589,22300,30.59,파주,Paju
100,128.71834,37.67713,35400,772.43,대관령,Daegwallyeong
101,127.7357,37.90262,31210,75.82,춘천,Chuncheon
102,124.71237,37.97396,21101,36.0,백령도,Baengnyeongdo
104,128.85535,37.80456,35201,75.24,북강릉,Bukgangneung
105,128.89099,37.75147,35300,27.12,강릉,Gangneung
106,129.12433,37.50709,35500,40.46,동해,Donghae
108,126.9658,37.57142,11101,85.67,서울,Seoul
112,126.6249,37.47772,23201,68.99,인천,Incheon
114,127.94659,37.33749,31300,150.11,원주,Wonju
115,130.89863,37.48129,35601,221.14,울릉도,Ulleungdo
119,126.983,37.25746,23311,39.81,수원,Suwon
121,128.45743,37.18126,31400,240.54,영월,Yeongwol
127,127.9525,36.97045,41400,114.85,충주,Chungju
129,126.4939,36.77658,45110,25.25,서산,Seosan
130,129.41278,36.99176,71100,48.98,울진,Uljin
131,127.44066,36.63924,41111,58.7,청주,Cheongju
133,127.3721,36.37199,45201,67.79,대전,Daejeon
135,127.99458,36.22025,41300,244.98,추풍령,Chupungnyeong
136,128.70733,36.57293,71311,141.26,안동,Andong
137,128.15741,36.40837,71200,96.58,상주,Sangju
138,129.38002,36.03201,71501,3.94,포항,Pohang
140,126.76135,36.0053,51100,27.85,군산,Gunsan
143,128.65296,35.87797,71401,54.27,대구,Daegu
146,127.11718,35.84092,51211,60.44,전주,Jeonju
152,129.33469,35.58237,75201,81.14,울산,Ulsan
155,128.57282,35.17019,75301,34.97,창원,Changwon
156,126.89156,35.17294,55101,70.28,광주,Gwangju
159,129.03203,35.10468,75101,69.56,부산,Busan
162,128.43561,34.84541,75400,31.24,통영,Tongyeong
165,126.38151,34.81732,55201,44.7,목포,Mokpo
168,127.74063,34.73929,55601,65.93,여수,Yeosu
169,125.45105,34.68719,55401,75.12,흑산도,Heuksando
170,126.70182,34.3959,55500,35.37,완도,Wando
172,126.599,35.34824,51300,52.42,고창,Gochang
174,127.3694,35.0204,56110,165.0,순천,Suncheon
177,126.68772,36.65759,45301,27.74,홍성,Hongseong
181,127.38458,36.63994,41210,33.55,서청주,Seocheongju
184,126.52969,33.51411,61101,20.79,제주,Jeju
185,126.16283,33.29382,61200,71.39,고산,Gosan
188,126.8802,33.38677,61400,20.34,성산,Seongsan
189,126.5653,33.24616,61311,51.86,서귀포,Seogwipo
192,128.04004,35.16378,75610,29.35,진주,Jinju
201,126.44634,37.70739,24100,47.84,강화,Ganghwa
202,127.49446,37.48863,24200,47.26,양평,Yangpyeong
203,127.48421,37.26399,24300,80.09,이천,Icheon
211,128.16714,38.05986,32100,201.78,인제,Inje
212,127.88043,37.6836,32200,140.2,홍천,Hongcheon
216,128.98929,37.17038,36100,714.45,태백,Taebaek
217,128.67348,37.37732,32300,312.0,정선군,Jeongseon
221,128.19433,37.15928,42200,264.62,제천,Jecheon
226,127.73415,36.48761,42300,171.31,보은,Boeun
232,127.29282,36.76217,46100,84.78,천안,Cheonan
