scenario_id,scenario_type,forecast_origin,horizon,rul_lead_horizon,model_family,model_name,capacity_mae,capacity_rmse,capacity_smape,soh_mae,soh_rmse,soh_smape,n
eol_o516_lead30_h34,eol_crossing,516,34,30.0,machine_learning,RidgeRegression,0.00880084247434832,0.0220462594384659,0.9782293230169117,0.007744343042668137,0.01939971047053453,0.9782293230169126,34
eol_o516_lead30_h34,eol_crossing,516,34,30.0,machine_learning,RandomForestRegressor,0.013643545208726316,0.022600958454121002,1.5037273708002648,0.012005702263447408,0.019887820498089757,1.5037273708002639,34
eol_o516_lead30_h34,eol_crossing,516,34,30.0,baseline,MovingAverage,0.01402590160425647,0.024354266485716484,1.5433933487298976,0.012342158585688642,0.021430652209453394,1.5433933487298983,34
eol_o516_lead30_h34,eol_crossing,516,34,30.0,baseline,LinearTrend,0.04117110794333743,0.042960511417959625,4.585452772982474,0.03622871154542887,0.03780330561294089,4.585452772982471,34
eol_o516_lead30_h34,eol_crossing,516,34,30.0,baseline,Persistence,0.1099070907882901,0.11207559247730636,12.682673348953525,0.09671326539101761,0.09862144872883957,12.682673348953527,34
eol_o526_lead20_h24,eol_crossing,526,24,20.0,machine_learning,RidgeRegression,0.005230289481513675,0.005928193072340505,0.5698999108762381,0.0046024180157025335,0.005216541587829432,0.5698999108762387,24
eol_o526_lead20_h24,eol_crossing,526,24,20.0,baseline,LinearTrend,0.006435049184523737,0.008274270144067014,0.7000065318602727,0.005662552025746119,0.007280983225200476,0.700006531860272,24
eol_o526_lead20_h24,eol_crossing,526,24,20.0,machine_learning,RandomForestRegressor,0.007507245153654797,0.008744705419503798,0.8182127299197132,0.006606035949940752,0.007694944975223087,0.8182127299197125,24
eol_o526_lead20_h24,eol_crossing,526,24,20.0,baseline,MovingAverage,0.008631832077231652,0.010472689257589238,0.9396417245200461,0.0075956215427817235,0.009215492542495714,0.9396417245200456,24
eol_o526_lead20_h24,eol_crossing,526,24,20.0,baseline,Persistence,0.012299803200727757,0.014377960853566364,1.3355249376558231,0.010823270115489328,0.01265195479053459,1.3355249376558245,24
eol_o536_lead10_h14,eol_crossing,536,14,10.0,machine_learning,RandomForestRegressor,0.006458118973372943,0.0075289388844604075,0.7070768728203374,0.005682852395772177,0.006625125451170185,0.7070768728203386,14
eol_o536_lead10_h14,eol_crossing,536,14,10.0,machine_learning,RidgeRegression,0.006747135525552291,0.007534791348036716,0.7384309630506567,0.005937173880517487,0.006630275354229081,0.7384309630506547,14
eol_o536_lead10_h14,eol_crossing,536,14,10.0,baseline,MovingAverage,0.012361231439687481,0.013631074785027229,1.34826769150785,0.010877324185471557,0.011994728855015822,1.3482676915078504,14
eol_o536_lead10_h14,eol_crossing,536,14,10.0,baseline,Persistence,0.014033452313109405,0.015376761901766001,1.5289793448377835,0.012348802867726787,0.013530854506235687,1.528979344837789,14
eol_o536_lead10_h14,eol_crossing,536,14,10.0,baseline,LinearTrend,0.02002379064038869,0.021562657114664735,2.173279365273189,0.01762002946714713,0.01897416231390478,2.17327936527319,14
pre_01_o182_h10,pre_eol_rolling,182,10,,baseline,Persistence,0.0022495695726881594,0.0024482095083779467,0.22140459992905626,0.0019795194062412922,0.0021543135590100762,0.22140459992905206,10
pre_01_o182_h10,pre_eol_rolling,182,10,,baseline,LinearTrend,0.018676191083487913,0.01868450943569321,1.8534533900814838,0.0164342028507515,0.016441522624195383,1.853453390081482,10
pre_01_o182_h10,pre_eol_rolling,182,10,,machine_learning,RandomForestRegressor,0.019655197877225205,0.02200076774763121,1.9568529724298522,0.017295684518433052,0.0193596798415985,1.9568529724298505,10
pre_01_o182_h10,pre_eol_rolling,182,10,,baseline,MovingAverage,0.02107549511885374,0.02109762216552793,2.094050657218872,0.018545481807020637,0.0185649526066021,2.0940506572188746,10
pre_01_o182_h10,pre_eol_rolling,182,10,,machine_learning,RidgeRegression,0.03545535867242232,0.03771999970142546,3.555446797917265,0.03119911088743905,0.033191892493088675,3.5554467979172633,10
pre_01_o182_h20,pre_eol_rolling,182,20,,baseline,Persistence,0.004977044426536281,0.006514943915059942,0.4920502467250654,0.004379573829441869,0.005732855772504165,0.49205024672506387,20
pre_01_o182_h20,pre_eol_rolling,182,20,,baseline,LinearTrend,0.014424078263808437,0.015891768331411787,1.4316731532903824,0.012692536024228396,0.013984036854628021,1.4316731532903817,20
pre_01_o182_h20,pre_eol_rolling,182,20,,machine_learning,RandomForestRegressor,0.016163713168931542,0.018921138852270963,1.6086405437163547,0.014223336003155456,0.01664974580070445,1.6086405437163547,20
pre_01_o182_h20,pre_eol_rolling,182,20,,baseline,MovingAverage,0.017443648844081495,0.01856918658237021,1.734365209731856,0.015349621466143987,0.016340043732896586,1.7343652097318591,20
pre_01_o182_h20,pre_eol_rolling,182,20,,machine_learning,RidgeRegression,0.043856374935816234,0.045675106826116266,4.433377956922153,0.038591624960993595,0.040192026706869256,4.4333779569221505,20
pre_01_o182_h30,pre_eol_rolling,182,30,,baseline,Persistence,0.011531062991437491,0.016508161532231516,1.1267591252930265,0.010146813525249383,0.014526434972788825,1.126759125293025,30
pre_01_o182_h30,pre_eol_rolling,182,30,,baseline,LinearTrend,0.02073904744103498,0.025276580140788513,2.0419722293098923,0.018249423078491842,0.02224224648109654,2.0419722293098914,30
pre_01_o182_h30,pre_eol_rolling,182,30,,machine_learning,RandomForestRegressor,0.023299861937693723,0.028748273252416894,2.300127196163315,0.0205028239305769,0.02529717928709578,2.300127196163315,30
pre_01_o182_h30,pre_eol_rolling,182,30,,baseline,MovingAverage,0.02442644926263619,0.028944860594855844,2.4113629603220668,0.02149416978607951,0.02547016725070624,2.4113629603220703,30
pre_01_o182_h30,pre_eol_rolling,182,30,,machine_learning,RidgeRegression,0.058572206882836826,0.06416720756049647,5.912180965837003,0.05154089102139099,0.05646423838251568,5.912180965837003,30
pre_02_o292_h10,pre_eol_rolling,292,10,,baseline,Persistence,0.004974756824420013,0.006093929705359813,0.5068842775863414,0.004377560843118677,0.005362382323483926,0.5068842775863409,10
pre_02_o292_h10,pre_eol_rolling,292,10,,baseline,LinearTrend,0.005055477773982631,0.007102967336655662,0.5152208010323915,0.0044485916252244625,0.006250289768991855,0.5152208010323905,10
pre_02_o292_h10,pre_eol_rolling,292,10,,machine_learning,RandomForestRegressor,0.006366838988117851,0.007815665208288781,0.6483450025764691,0.005602530140169315,0.006877431638624623,0.64834500257647,10
pre_02_o292_h10,pre_eol_rolling,292,10,,baseline,MovingAverage,0.007564673391291477,0.00882964908719756,0.7698329582233163,0.006656570199802691,0.0077696915581599085,0.7698329582233154,10
pre_02_o292_h10,pre_eol_rolling,292,10,,machine_learning,RidgeRegression,0.010089815310576756,0.01195772443876659,1.0330259758461569,0.008878580798374924,0.010522256287783617,1.0330259758461564,10
pre_02_o292_h20,pre_eol_rolling,292,20,,baseline,Persistence,0.005580589598499608,0.00626408793788131,0.5690031903121465,0.0049106662637234235,0.0055121138665744085,0.5690031903121452,20
pre_02_o292_h20,pre_eol_rolling,292,20,,machine_learning,RandomForestRegressor,0.006152134993746538,0.008198187740695004,0.6268389982233908,0.005413600342835822,0.007214034153797262,0.6268389982233906,20
pre_02_o292_h20,pre_eol_rolling,292,20,,baseline,MovingAverage,0.0071193237385867025,0.00892934343059564,0.7248862210411292,0.006264682662384363,0.007857418068086488,0.7248862210411269,20
pre_02_o292_h20,pre_eol_rolling,292,20,,baseline,LinearTrend,0.008462287169096732,0.011134962992715014,0.8653839987424295,0.007446429697391749,0.009798263454247879,0.8653839987424288,20
pre_02_o292_h20,pre_eol_rolling,292,20,,machine_learning,RidgeRegression,0.01617687796097974,0.018845554453087422,1.663586511070451,0.014234920424306474,0.016583234950446935,1.6635865110704504,20
pre_02_o292_h30,pre_eol_rolling,292,30,,machine_learning,RandomForestRegressor,0.004979180142723775,0.006872518649416387,0.5067141358952021,0.004381453163022275,0.006047505354554788,0.5067141358952029,30
pre_02_o292_h30,pre_eol_rolling,292,30,,baseline,MovingAverage,0.005350141053478715,0.007373120990284465,0.5443423419688992,0.004707881974432112,0.006488012756765968,0.5443423419688981,30
pre_02_o292_h30,pre_eol_rolling,292,30,,baseline,Persistence,0.007246583425109939,0.007973364441040093,0.7376135638493663,0.006376665426626649,0.007016199825823898,0.737613563849365,30
pre_02_o292_h30,pre_eol_rolling,292,30,,baseline,LinearTrend,0.014859110529538625,0.018438154880027126,1.5217579345372905,0.013075344728084127,0.01622474176545795,1.5217579345372898,30
pre_02_o292_h30,pre_eol_rolling,292,30,,machine_learning,RidgeRegression,0.02433850508274765,0.02812864160274718,2.507712706905885,0.02141678288821736,0.02475193148052235,2.5077127069058847,30
pre_03_o403_h10,pre_eol_rolling,403,10,,baseline,Persistence,0.00027967194017293197,0.00032154229058245086,0.02838233861095393,0.0002460986491259587,0.00028294266239323217,0.0283823386109505,10
pre_03_o403_h10,pre_eol_rolling,403,10,,machine_learning,RandomForestRegressor,0.0007583581462790479,0.0009837668066287406,0.07699703962669484,0.0006673208446923651,0.000865670263583143,0.07699703962669119,10
pre_03_o403_h10,pre_eol_rolling,403,10,,baseline,LinearTrend,0.0019898521878411457,0.0020861955713757595,0.2021346705321644,0.0017509798626394123,0.0018357576795538873,0.20213467053216433,10
pre_03_o403_h10,pre_eol_rolling,403,10,,baseline,MovingAverage,0.004548099793792737,0.00455086637738469,0.46258290583216016,0.004002121967082173,0.004004556435424807,0.4625829058321614,10
pre_03_o403_h10,pre_eol_rolling,403,10,,machine_learning,RidgeRegression,0.009072973316094312,0.009406274283602821,0.9252897418972571,0.007983805866495918,0.00827709563237486,0.9252897418972571,10
pre_03_o403_h20,pre_eol_rolling,403,20,,baseline,Persistence,0.00498234123013841,0.007547233824902021,0.5031238353910967,0.004384234776873208,0.006641224170711835,0.5031238353910941,20
pre_03_o403_h20,pre_eol_rolling,403,20,,machine_learning,RandomForestRegressor,0.005451940787976789,0.0078045701520758695,0.5508288781858437,0.004797461133234643,0.006867668491330385,0.5508288781858437,20
pre_03_o403_h20,pre_eol_rolling,403,20,,baseline,LinearTrend,0.005760936058120591,0.00757262102594554,0.5822398381694417,0.005069362985532328,0.00666356375858053,0.582239838169441,20
pre_03_o403_h20,pre_eol_rolling,403,20,,baseline,MovingAverage,0.008805250709203082,0.010530380113145799,0.892000692485272,0.007748222089819301,0.009266257884240821,0.8920006924852728,20
pre_03_o403_h20,pre_eol_rolling,403,20,,machine_learning,RidgeRegression,0.017446809102856942,0.020344485455921425,1.7784292919284135,0.015352402350829936,0.01790222638985417,1.7784292919284121,20
pre_03_o403_h30,pre_eol_rolling,403,30,,baseline,Persistence,0.005613242239330773,0.0076501696141953925,0.5670801892950671,0.004939399109764312,0.006731803006315273,0.5670801892950655,30
