scenario_id,scenario_type,cell_id,origin_position,forecast_origin,origin_capacity_ah,origin_soh,origin_below_threshold,horizon,rul_lead_horizon,train_rows,test_rows,test_start_cycle,test_end_cycle,true_eol_cycle,true_rul,includes_eol,includes_eol_confirmation
eol_o516_lead30_h34,eol_crossing,CS2_35,511,516,0.8094836161050054,0.7123089441503537,True,34,30.0,512,34,517,550,546,30,True,True
eol_o526_lead20_h24,eol_crossing,CS2_35,521,526,0.9291163192232569,0.8175803082009887,False,24,20.0,522,24,527,550,546,20,True,True
eol_o536_lead10_h14,eol_crossing,CS2_35,531,536,0.9262613856406237,0.8150680958653643,False,14,10.0,532,14,537,550,546,10,True,True
pre_01_o182_h10,pre_eol_rolling,CS2_35,179,182,1.0147125502484045,0.8929011173337872,False,10,,180,10,183,192,546,364,False,False
pre_01_o182_h20,pre_eol_rolling,CS2_35,179,182,1.0147125502484045,0.8929011173337872,False,20,,180,20,183,202,546,364,False,False
pre_01_o182_h30,pre_eol_rolling,CS2_35,179,182,1.0147125502484045,0.8929011173337872,False,30,,180,30,183,212,546,364,False,False
pre_02_o292_h10,pre_eol_rolling,CS2_35,289,292,0.9788995548255812,0.8613873022929852,False,10,,290,10,293,302,546,254,False,False
pre_02_o292_h20,pre_eol_rolling,CS2_35,289,292,0.9788995548255812,0.8613873022929852,False,20,,290,20,293,312,546,254,False,False
pre_02_o292_h30,pre_eol_rolling,CS2_35,289,292,0.9788995548255812,0.8613873022929852,False,30,,290,30,293,322,546,254,False,False
pre_03_o403_h10,pre_eol_rolling,CS2_35,399,403,0.9851883016388285,0.8669211148537969,False,10,,400,10,404,413,546,143,False,False
pre_03_o403_h20,pre_eol_rolling,CS2_35,399,403,0.9851883016388285,0.8669211148537969,False,20,,400,20,404,423,546,143,False,False
pre_03_o403_h30,pre_eol_rolling,CS2_35,399,403,0.9851883016388285,0.8669211148537969,False,30,,400,30,404,433,546,143,False,False
pre_04_o515_h10,pre_eol_rolling,CS2_35,510,515,0.9382935966874868,0.825655896996936,False,10,,511,10,516,525,546,31,False,False
pre_04_o515_h20,pre_eol_rolling,CS2_35,510,515,0.9382935966874868,0.825655896996936,False,20,,511,20,516,535,546,31,False,False
pre_04_o515_h30,pre_eol_rolling,CS2_35,510,515,0.9382935966874868,0.825655896996936,False,30,,511,30,516,545,546,31,False,False
