순번,행정구역,업소명,주소,전화번호,관리구분,위도,경도
1,강원 강릉시,SK동해충전소,강원특별자치도 강릉시 율곡로 3054 (교동) ,"용기, 자동차, 13KG용기",자동차,37.7674347,128.8880731
2,강원 강릉시,신일충전소,강원특별자치도 강릉시 경강로 1885 (홍제동) ,자동차,자동차,37.7512918,128.8718733
3,강원 강릉시,대성산업(주)강릉충전소,강원특별자치도 강릉시 성덕포남로149번길 1 (포남동) ,"용기, 자동차, 13KG용기",자동차,37.765384,128.9112843
4,강원 강릉시,(주)강릉개인택시충전소,강원특별자치도 강릉시 강변로 636-5 (두산동) ,자동차,자동차,37.7643202,128.929442
5,강원 강릉시,주문진충전소,강원특별자치도 강릉시 연곡면 연주로 156 ,자동차,자동차,37.8700815,128.8378606
6,강원 강릉시,동방엘티에스,강원특별자치도 강릉시 연곡면 동해대로 4076 ,"용기, 자동차, 탱크로리, 13KG용기","용기, 자동차, 13KG용기",37.8460651,128.8416938
7,강원 강릉시,서창산업(주)옥계(속초방향)충전소,강원특별자치도 강릉시 옥계면 동해고속도로 322 ,자동차,자동차,37.616302,129.0569319
8,강원 강릉시,KIS정보통신(주)강릉(강릉방향)충전소,강원특별자치도 강릉시 성산면 영동고속도로 232-1 ,자동차,자동차,37.7574609,128.8060636
9,강원 강릉시,(합)동아가스충전소,강원특별자치도 강릉시 강변로 548 (입암동) ,자동차,자동차,37.7574121,128.916758
10,강원 강릉시,오죽헌충전소,강원특별자치도 강릉시 율곡로 3209 (죽헌동) ,,"용기, 자동차, 탱크로리, 13KG용기",37.7847972,128.8688249
11,강원 강릉시,송은LPG충전소,강원특별자치도 강릉시 사천면 동해대로 3712 ,자동차,자동차,37.8161456,128.8542943
12,강원 강릉시,하슬라충전소,강원특별자치도 강릉시 강동면 동해대로 1885 ,자동차,자동차,37.7170769,128.9791618
13,강원 강릉시,KIS정보통신(주)강릉(인천방향)충전소,강원특별자치도 강릉시 성산면 영동고속도로 231-1 ,자동차,,37.7593104,128.8051586
14,강원 강릉시,(주)코스모,강원특별자치도 강릉시 율곡로 2572 (청량동) ,,"용기, 자동차, 13KG용기",37.7450351,128.9253852
15,강원 강릉시,연곡LP가스충전소,강원특별자치도 강릉시 연곡면 동해대로 4069 ,자동차,자동차,37.8459202,128.8406418
16,강원 고성군,㈜대일가스고성지점,강원특별자치도 고성군 간성읍 진부령로 2803 ,자동차,자동차,38.3233062,128.3861357
17,강원 고성군,고성가스충전소,강원특별자치도 고성군 죽왕면 동해대로 6604 ,자동차,자동차,38.3800877,128.4891942
