순번,행정구역,지사,시설명,우편번호,주소,위도,경도
1,부산 사상구,부산광역본부,대도하이젠(주) 수소복합충전소 학장CNG충전소,47020,부산광역시 사상구 학감대로 167(학장동),35.1459087,128.9877688
2,부산 남구,부산광역본부,(주)항만엘엔지 BPT 감만 LNG 충전소,48481,부산광역시 남구 북항로 105 (감만동),35.1059456,129.0825838
3,강원 원주시,강원광역본부,원주천연가스버스충전소,26505,강원특별자치도 원주시 치악로 1307 (관설동) ,37.3128744,127.9762032
4,전북 전주시 완산구,전북본부,(유)제일씨엔지에너지평화동CNG충전소,55141,전북특별자치도 전주시 완산구 난전들로 59 (평화동3가),35.7772646,127.1223844
5,전북 전주시 덕진구,전북본부,(유)호남고속팔복CNG충전소,54845,전북특별자치도 전주시 덕진구 신복천변로 32 (팔복동1가) ,35.8572417,127.1047149
6,전북 완주군,전북본부,현대자동차(주) 전주공장CNG제2충전소,55322,전북특별자치도 완주군 봉동읍 완주산단5로 163 ,35.9508555,127.1373994
7,경기 군포시,경기광역본부,(주)삼천리이엔지 부곡(군포부곡씨엔지충전소),15879,경기도 군포시 번영로 179-46 공영차고지,37.3322014,126.9266756
8,대구 북구,대구광역본부,대성에너지(주)검단CNG충전소,41514,대구광역시 북구 검단동 1884 ,35.9147051,128.6218117
9,서울 은평구,서울서부지사,서울씨엔지(주) 은평CNG충전소,03486,서울특별시 은평구 수색로24길 19,37.5926586,126.8854014
10,서울 마포구,서울서부지사,서울씨엔지(주)상암CNG충전소,03902,서울특별시 마포구 가양대로 125 (상암동),37.5815939,126.8781594
11,울산 북구,울산본부,명촌공영차고지CNG충전소,44254,울산광역시 북구 산업로 768 (명촌동) ,35.5536573,129.3517989
12,대전 동구,대전광역본부,블루에너지서비스(주)대전지사,34709,대전광역시 동구 금산로 471 (구도동),36.2687219,127.4773678
13,전남 순천시,전남동부지사,(유)원영실업 순천CNG충전소,57924,전라남도 순천시 중앙로 491-6,34.9890433,127.4892266
14,경기 남양주시,경기북부지사,(주)대원운수(덕소CNG충전소),12270,경기도 남양주시 와부읍 덕소로 320 ,37.5727622,127.2262799
15,경기 남양주시,경기북부지사,(주)대원운수 차산리CNG충전소,12197,경기도 남양주시 화도읍 수레로1092번길 5-4 ,37.6342465,127.3050077
16,충남 천안시 서북구,충남본부,(유)도솔공영에너지-성성동CNG충전소,31078,충청남도 천안시 서북구 공단로 78-15,36.8461528,127.1244602
17,서울 도봉구,서울동부지사,한국스마트자동차(주)도봉공영CNG충전소,01301,서울특별시 도봉구 도봉로 961 도봉권역공영차고지,37.6900356,127.042958
18,서울 노원구,서울동부지사,흥안에너지(주)월계CNG충전소,01884,서울특별시 노원구 월계로 280,37.6257955,127.0530782
19,부산 북구,부산북부지사,삼진그린에너지(주),46510,부산광역시 북구 금곡대로 730,35.2719878,129.0189011
20,경기 시흥시,경기서부지사,재연(주) CNG충전소,15082,경기도 시흥시 희망공원로 278,37.3446948,126.7271187
21,경기 광명시,경기서부지사,한국스마트자동차 주식회사 소하CNG충전소,14333,경기도 광명시 오리로 273,37.4270994,126.8808695
22,인천 부평구,인천본부,강인산업(주),21448,인천광역시 부평구 백범로 570,37.4747676,126.6907524
23,인천 연수구,인천본부,인천교통공사 송도CNG충전소,22014,인천광역시 연수구 아카데미로51번길  42,37.3712249,126.6379694
24,경기 고양시 일산동구,경기중부지사,주식회사 동진네오-신촌교통씨엔지충전소,10251,경기도 고양시 일산동구 고봉로678번길 47,37.7164885,126.7917606
25,경기 고양시 일산서구,경기중부지사,(주)오천고양지점 씨엔지충전소,10373,경기도 고양시 일산서구 경의로 772 ,37.6866722,126.7601225
26,경기 고양시 일산서구,경기중부지사,서울씨엔지(주) 대화충전소,10226,경기도 고양시 일산서구 대수길 105,37.6810112,126.7385509
27,부산 강서구,부산광역본부,강서공영차고지사업부CNG충전소,46733,부산광역시 강서구 녹산화전로 117 (화전동) ,35.1009574,128.8667355
28,부산 사하구,부산광역본부,(주)진원에너지,49505,부산광역시 사하구 다대로 722 (다대동),35.0495844,128.9622523
29,서울 강남구,서울광역본부,(주)도선제이엔디아이엔씨,06358,서울특별시 강남구 양재대로 486 도선여객정비공장,37.4791675,127.0655693
30,경기 수원시 권선구,경기광역본부,(주)에스이모빌리티 남부CNG충전소,16668,경기도 수원시 권선구 덕영대로1368번길 2 외 일원,37.2359533,127.0320838
31,대구 달서구,대구광역본부,대성에너지(주)성서CNG충전소,42705,대구광역시 달서구 성서공단로 97,35.8352893,128.4932838
32,대구 달성군,대구광역본부,대성에너지(주)논공CNG충전소,42976,대구광역시 달성군 논공읍 약산덧재길 56,35.7409671,128.4245415
33,경기 남양주시,경기북부지사,(주)대원운수(진벌리CNG충전소),12021,경기도 남양주시 진접읍 경복대로 497 ,37.7390259,127.2147973
34,서울 금천구,서울남부지사,범일에너지주식회사,08644,서울특별시 금천구 금하로 738 범일CNG충전소,37.4498674,126.9117479
35,서울 강서구,서울남부지사,김포교통(주)방화CNG충전소,07508,서울특별시 강서구 금낭화로 170 김포교통주식회사,37.5803785,126.8145033
36,서울 도봉구,서울동부지사,(주)사랑CNG충전소,01405,서울특별시 도봉구 노해로 317-6,37.6520237,127.0441783
37,부산 북구,부산북부지사,구포CNG충전소,46627,부산광역시 북구 시랑로185번길 66,35.1981458,129.0150681
38,부산 금정구,부산북부지사,(주)엑스티루브 회동CNG충전소,46259,부산광역시 금정구 개좌로 222 (회동동),35.2298919,129.1228059
39,부산 금정구,부산북부지사,금정공영차고지사업부 CNG충전소,46202,부산광역시 금정구 중앙대로 2310 (노포동),35.2897068,129.0997006
40,부산 기장군,부산북부지사,동부산공영차고지사업부 CNG충전소,46075,부산광역시 기장군 기장읍 기장대로 313,35.2231444,129.2122454
41,전남 목포시,전남서부지사,목포CNG충전소(신백승여행사㈜ 목포지점),58606,전라남도 목포시 임성로 16,34.8213576,126.4284743
42,인천 중구,인천본부,인천그린에너지(주)_운북CNG충전소,22362,인천광역시 중구 영종순환로877번길 29,37.5108249,126.5018662
43,경기 이천시,경기동부지사,(주)대원고속 이천공영차고지CNG충전소,17391,경기도 이천시 이섭대천로 981-42 관리동,37.2594206,127.4434218
44,경기 성남시 분당구,경기동부지사,성남천연가스(주),13509,경기도 성남시 분당구 판교로 776 (야탑동),37.4062703,127.144621
45,서울 서초구,서울광역본부,한국스마트자동차(주)서초CNG충전소,06792,서울특별시 서초구 양재대로 254 서초공영차고지,37.4665747,127.0458727
46,서울 강동구,서울광역본부,한국스마트자동차(주)강동CNG충전소,05212,서울특별시 강동구 아리수로 426 시내버스공영차고지,37.5635718,127.1737672
47,경기 평택시,경기광역본부,용이CNG충전소,17870,경기도 평택시 이화로 89,37.0036485,127.1398361
48,경기 수원시 권선구,경기광역본부,(주)에스이모빌리티 경진CNG충전소,16431,경기도 수원시 권선구 세화로 220,37.2715168,126.9958193
49,경남 김해시,경남본부,경남에너지(주)김해CNG충전소,50853,경상남도 김해시 한림면 김해대로 1611,35.2747583,128.8475649
50,대구 동구,대구광역본부,대성에너지(주)동호CNG충전소,41085,대구광역시 동구 경안로 700,35.8650205,128.7148742
51,광주 북구,광주광역본부,(주)해양에너지 장등 CNG충전소,61140,광주광역시 북구 장운길 55,35.200915,126.9335311
